CO_MUNICIPIO;doc_bas;doc_vinculo_contrat;pct_contratados
2109239;268;143;53.4
2113009;658;217;33
2104651;253;179;70.8
2114007;987;400;40.5
2100873;287;246;85.7
2100055;1579;670;42.4
2110856;163;94;57.7
2105427;368;115;31.2
2100600;895;598;66.8
2105302;3443;460;13.4
2103752;291;131;45
2103257;258;120;46.5
2104552;249;140;56.2
2111532;192;115;59.9
2112852;156;95;60.9
2111763;289;51;17.6
2105500;527;299;56.7
2102358;216;78;36.1
2109551;101;68;67.3
2107001;157;102;65
2105989;163;106;65
2101202;1628;906;55.7
2102077;248;116;46.8
2100436;391;291;74.4
2111672;168;79;47
2104008;430;210;48.8
2111631;197;115;58.4
2101939;110;53;48.2
2105203;205;137;66.8
2105807;298;169;56.7
2105948;209;106;50.7
2105906;343;142;41.4
2106003;244;122;50
2108454;484;335;69.2
2102754;231;114;49.4
2107407;407;209;51.4
2108207;543;189;34.8
2112233;358;223;62.3
2108702;683;421;61.6
2111722;262;231;88.2
2108900;364;133;36.5
2110302;563;412;73.2
2111409;378;181;47.9
2111508;622;348;55.9
2100956;651;362;55.6
2101608;2070;940;45.4
2105476;656;496;75.6
2104081;278;197;70.9
2105351;393;271;69
2104800;1643;852;51.9
2104099;384;227;59.1
2105609;292;151;51.7
2111805;393;210;53.4
2112308;667;354;53.1
2109759;143;73;51
2103802;436;133;30.5
2104206;356;165;46.3
2104404;331;154;46.5
2104503;169;114;67.5
2104602;271;132;48.7
2111748;202;138;68.3
2104701;143;80;55.9
2109106;724;184;25.4
2111250;142;72;50.7
2110708;886;450;50.8
2104628;204;39;19.1
2100907;916;284;31
2100154;309;156;50.5
2106300;320;61;19.1
2106672;169;107;63.3
2110609;642;220;34.3
2110237;188;95;50.5
2100808;484;203;41.9
2102101;775;468;60.4
2102200;620;307;49.5
2103208;1397;656;47
2106409;459;293;63.8
2110401;516;352;68.2
2112605;781;467;59.8
2101731;257;176;68.5
2103307;2266;1198;52.9
2112100;482;240;49.8
2100105;249;193;77.5
2100303;497;252;50.7
2103406;908;536;59
2103901;314;267;85
2102309;587;343;58.4
2103000;2900;1582;54.6
2111078;453;321;70.9
2106607;747;237;31.7
2107803;730;390;53.4
2105922;202;87;43.1
2112209;3095;1459;47.1
2101509;344;136;39.5
2103505;785;389;49.6
2105450;221;112;50.7
2106706;395;215;54.4
2107308;85;38;44.7
2107704;341;82;24
2107902;405;219;54.1
2108009;507;274;54
2110906;257;160;62.3
2111102;471;50;10.6
2111953;129;34;26.4
2111904;183;92;50.3
2102804;410;259;63.2
2104057;537;188;35
2111573;137;102;74.5
2111052;254;76;29.9
2102556;220;94;42.7
2109007;548;291;53.1
2100501;165;55;33.3
2101400;1694;491;29
2109502;329;133;40.4
