CO_MUNICIPIO;doc_bas;doc_fund_ai;doc_fund_af;doc_med;doc_vinculo_contrat;pct_contratados;Anos Finais;Anos Iniciais;Ensino Médio
1501576;377;123;128;115;142;37.7;4.1;5.4;4.8
1501600;152;62;31;23;88;57.9;5;6.6;4.5
1501709;1901;444;934;358;796;41.9;4.9;5.3;4.2
1501725;306;82;153;28;271;88.6;5.4;6.5;5
1501758;137;29;68;15;47;34.3;5.1;6.1;3.8
1501782;489;164;188;64;259;53;4;4.6;4.2
1501808;2792;382;1625;224;1962;70.3;3.9;4.6;4.2
1501907;569;107;239;79;367;64.5;4.4;5.4;3.6
1501956;387;89;157;96;179;46.3;3.8;6.2;3.7
1502004;417;136;189;66;362;86.8;4.9;5.3;4.5
1502103;2161;546;1118;242;786;36.4;4.3;5.1;4.2
1502152;775;293;232;71;635;81.9;5.2;5.9;4.5
1502202;549;169;171;171;202;36.8;5.3;6.2;4.9
1502301;979;324;381;191;760;77.6;4.7;5.3;4.4
1502400;2272;641;847;496;1054;46.4;4.6;5.3;4.4
1502509;923;282;460;23;648;70.2;4;4.5;3.6
1502608;244;38;66;86;58;23.8;5.2;5.3;4.2
1502707;455;143;135;128;151;33.2;4.7;5.2;4.1
1502756;629;116;232;37;391;62.2;4.8;5.3;4.1
1502764;235;41;63;73;137;58.3;4;5;3.9
1502772;396;92;142;36;286;72.2;5.1;6.4;4.2
1502806;536;167;278;41;346;64.6;4.6;4.7;3.8
1502855;272;78;133;24;77;28.3;4.2;4.6;3.9
1502905;579;124;276;64;341;58.9;4.3;5.1;4
1502939;512;123;170;95;198;38.7;5.4;6;4.5
1502954;366;88;178;47;59;16.1;4.2;5;3.7
1503002;190;45;55;21;80;42.1;4.6;6.4;4.3
1503044;240;57;127;20;72;30;4.4;5;4.2
1503077;491;153;233;52;279;56.8;4.5;5.5;4.2
1503093;424;100;162;47;171;40.3;3.7;4.6;4.1
1503101;875;204;396;50;687;78.5;3.8;5.4;4.4
1503200;538;188;178;98;311;57.8;4.2;5;4
1503309;674;189;284;91;75;11.1;4.4;5.6;4.2
1503408;138;42;25;39;36;26.1;4.7;4.7;3.7
1503457;555;179;203;38;279;50.3;4.5;5.1;4
1503507;531;215;204;68;226;42.6;4.3;5.7;4.1
1503606;1517;424;572;261;1041;68.6;5;5.9;4.4
1503705;599;154;283;72;330;55.1;4.3;5.2;4.3
1503754;507;118;318;60;447;88.2;3.5;4;4
1503804;391;94;146;38;45;11.5;3.5;4.6;4.1
1503903;809;270;354;146;301;37.2;4.8;5.8;4.1
1504000;677;187;288;64;328;48.4;4.7;5.4;4.1
1504059;471;136;187;47;234;49.7;4.8;5.7;4.2
1504109;203;39;67;27;130;64;4.3;5;4
1504208;2663;557;1081;557;700;26.3;4.7;5.5;4.2
1504307;616;137;243;80;380;61.7;4.2;5;3.8
1504406;369;108;198;23;241;65.3;4.4;4.8;3.8
1504422;1180;340;397;224;1037;87.9;5;6.2;4.8
1504455;311;115;141;40;176;56.6;3.9;4.5;4.2
1504505;793;183;413;35;648;81.7;3.2;4;3.7
1504604;533;134;220;78;146;27.4;4.2;5;4.1
1504703;1086;223;506;132;506;46.6;4.5;5.6;3.6
1504752;357;89;206;29;258;72.3;4.4;5.3;4
1504802;847;202;411;143;134;15.8;4.4;5.3;4.3
1504901;658;213;224;44;571;86.8;5.5;5.5;4
1504950;400;90;178;37;192;48;5;5.5;4.3
1504976;151;36;74;16;63;41.7;4.2;5.1;4.4
1505007;235;67;93;33;126;53.6;4.4;5.8;4.4
1505031;326;105;118;36;195;59.8;4.2;5.7;4.5
1505064;723;144;357;119;274;37.9;4.3;5.3;3.9
1505106;867;214;405;169;377;43.5;4.7;5.7;4.2
1505205;513;189;240;34;315;61.4;3.9;4.6;3.8
1505304;894;224;445;125;346;38.7;4.6;5.2;4.3
1505403;281;96;80;37;206;73.3;5.4;5;4.5
1505437;427;108;151;77;258;60.4;5.1;6.1;4.4
1505486;593;105;299;61;261;44;4.3;5;4.6
1505494;98;23;41;16;14;14.3;4.3;4.7;3.8
1505502;1184;285;467;213;655;55.3;4.8;6.2;4.3
1505536;1974;559;628;357;448;22.7;4.5;5.4;4.4
1505551;106;20;46;6;36;34;3.9;4.6;4.2
1505601;168;40;54;10;113;67.3;4.5;5.7;4.5
1505635;317;65;95;41;246;77.6;5.4;7.4;3.7
1505650;300;103;143;33;184;61.3;4.9;5.8;4.2
1505700;510;189;189;48;291;57.1;4.7;5.4;3.8
1505809;1330;369;801;44;827;62.2;4.3;5;4.2
1505908;753;253;400;57;508;67.5;6.2;7;5.6
1506005;584;181;266;84;280;47.9;4.3;4.5;3.8
1506104;145;55;30;25;66;45.5;4.4;6.4;4.9
1506112;143;54;34;25;58;40.6;4.9;5.9;4.8
1506138;777;253;298;74;195;25.1;4.8;5.4;4.6
1506161;206;60;93;22;77;37.4;4.5;5.2;4.2
1506187;337;107;127;27;31;9.2;4.3;5.3;4.5
1506195;368;138;169;38;192;52.2;4.7;5.5;5
1506203;487;161;150;69;234;48;4.9;5.3;4.2
1506302;440;105;162;66;275;62.5;5;5.3;4.6
1506351;244;79;56;34;137;56.1;4.8;5.9;4.2
1506401;131;40;53;15;94;71.8;4.6;4.4;4
1506500;785;215;250;105;515;65.6;4.7;5.5;4.3
1506559;249;49;130;15;157;63.1;4.8;5.1;4.4
1506583;216;78;99;5;144;66.7;3.9;4.8;3.8
1506609;333;118;64;56;173;52;5.2;5.6;4.6
1506708;422;103;148;24;253;60;5.1;5.2;3.7
1506807;4568;1132;2161;857;2413;52.8;4.9;5.8;4.5
1506906;138;36;64;7;76;55.1;4.7;5.9;4.4
1507003;445;154;152;75;184;41.3;4;5.1;3.8
1507102;254;47;128;26;119;46.9;5.3;6.6;4.2
1507151;281;82;131;25;45;16;4.1;4.7;4.5
1507201;560;136;320;39;234;41.8;4.1;4.2;3.8
1507300;758;242;337;42;315;41.6;3.9;4.7;3.9
1507409;207;65;82;20;102;49.3;4.1;5.2;4
1507458;311;92;112;47;105;33.8;4.8;5.5;4.3
1507466;123;40;75;7;79;64.2;4.6;5.6;4.3
1507474;303;124;138;17;86;28.4;4.1;5.2;3.8
1507508;193;52;79;34;55;28.5;4.4;5;3.9
1507607;1074;219;461;92;560;52.1;4.5;5.1;4.2
1507706;452;122;203;16;281;62.2;4.7;5.2;4.5
1507755;121;28;26;16;99;81.8;4.6;5.6;4.4
1507805;366;141;159;28;263;71.9;5.1;5.7;4.5
1507904;335;111;114;51;209;62.4;4.6;5.3;4.3
1507953;928;236;329;94;488;52.6;4.3;5.2;4.1
1507961;211;47;101;24;144;68.2;4.4;4.6;4.5
1507979;284;92;114;11;86;30.3;4.9;5.9;4.2
1508001;1085;252;479;84;771;71.1;4.9;6.2;4.1
1508035;412;94;230;28;281;68.2;4.4;6.3;4
1508050;212;65;84;28;128;60.4;4;4.9;4.7
1508084;483;126;139;33;325;67.3;4.6;5.3;4.6
1508100;1232;344;291;245;683;55.4;4.6;5.4;4.4
1508126;329;82;87;28;243;73.9;5.7;6.5;4.3
1508159;454;192;213;46;354;78;4.9;5.4;4.3
1508209;686;207;183;123;362;52.8;4.8;6.6;4.4
1508308;1249;296;550;137;753;60.3;4.4;5.1;3.7
1508357;356;102;172;37;285;80.1;5.6;5.6;4.2
1508407;633;201;196;72;305;48.2;5.5;6.3;4.5
1600055;102;27;42;38;53;52;4.3;5.3;3.9
1600105;169;45;72;25;112;66.3;4;4.1;3.5
1600154;312;130;65;49;202;64.7;3.5;5.1;3.8
1600204;220;77;65;36;141;64.1;4;4.5;3.5
1600212;135;39;45;26;71;52.6;4.1;4.3;3.3
1600238;170;45;86;16;34;20;4.3;4.8;3.3
1600253;211;66;79;42;140;66.4;3.6;4.4;3.1
1600279;782;176;319;144;439;56.1;4.5;5.6;3.8
1600303;5443;1590;1806;1403;1465;26.9;4.5;5.6;3.7
1600402;619;166;211;96;453;73.2;4.3;5.2;3.6
1600501;719;252;238;155;395;54.9;4.2;4.2;3.5
1600535;440;105;159;135;139;31.6;4.4;5;4
1600550;100;40;30;18;40;40;4.3;4.3;3.3
1600600;1617;461;495;438;603;37.3;4.6;5.7;4
1600709;331;87;136;66;167;50.5;4.2;4.9;3.3
1600808;250;64;108;32;129;51.6;4.1;4.9;3.6
1700251;48;11;22;15;28;58.3;4.5;6.2;3.9
1700301;78;25;33;22;34;43.6;4.8;4.9;3.9
1700350;76;23;31;26;53;69.7;5.1;6.2;4.2
1700400;124;34;49;56;68;54.8;4.4;5.3;4
1700707;106;23;39;25;71;67;5.3;5.9;3.9
1701002;137;35;43;29;86;62.8;4.8;5.9;3.8
1701051;57;17;25;21;27;47.4;4.8;5.9;4.4
1701101;61;20;22;18;36;59;4.4;5.8;3.8
1701309;78;22;41;39;41;52.6;4.7;5.7;4.2
1701903;96;36;42;30;62;64.6;4.4;5.5;3.9
1702000;100;24;31;30;43;43;5.1;6.4;4.2
1702109;1737;469;561;423;893;51.4;4.9;6;4.4
1702158;65;14;34;25;34;52.3;4.6;5.3;4.4
1702208;448;104;160;184;169;37.7;4.8;5.7;4.3
1702307;66;16;22;16;27;40.9;5;4.9;3.9
1702406;174;24;107;60;91;52.3;5;5.4;4.3
1702554;286;79;110;71;150;52.4;4.8;6;4.8
1702703;43;10;19;10;22;51.2;4.4;5.2;3.9
1702901;189;36;69;25;43;22.8;4.3;5;3.4
1703008;103;30;53;35;32;31.1;4.5;4.6;3.6
1703057;74;17;28;15;42;56.8;4.2;;4.1
1703073;87;32;28;33;60;69;4.4;5.3;3.9
1703107;94;22;26;28;43;45.7;4.9;5.4;4.1
1703206;84;18;48;19;44;52.4;4;5.6;3.9
1703305;53;15;19;19;26;49.1;3.8;5.2;3.9
1703602;31;9;12;11;14;45.2;5.1;5.1;4.4
1703701;74;24;25;14;42;56.8;4.7;5.4;4.1
1703800;152;33;60;48;74;48.7;4.8;5.5;3.8
1703826;32;9;17;11;9;28.1;4.2;5.3;4.2
1703842;154;42;63;32;95;61.7;3.8;5.1;3.5
1703867;71;23;28;13;29;40.8;5.2;5.9;4.4
1703883;44;12;19;11;33;75;4.2;4.6;4.1
1703891;63;19;26;23;37;58.7;4.2;5;3.8
1703909;74;24;31;29;51;68.9;4.3;5.1;3.5
1704105;22;6;14;8;8;36.4;3.7;5.3;4.5
1704600;20;7;9;0;14;70;3.5;5.4;
1705102;34;12;13;13;21;61.8;4.1;5.1;3.6
1705508;442;108;127;153;244;55.2;5.1;6.4;4.4
1705557;83;18;31;28;36;43.4;5.5;5.6;4.5
1705607;64;20;25;19;49;76.6;3.6;5.4;3.3
1706001;101;34;27;17;72;71.3;4.7;5.5;4.6
1706100;66;19;30;29;30;45.5;4.9;5.6;4.5
1706258;28;7;13;9;18;64.3;4.9;5.5;4.3
1706506;80;25;31;26;39;48.8;4.3;4.9;4.1
1707009;271;67;106;104;130;48;4.4;5.3;4.2
1707108;101;28;31;25;74;73.3;4.7;5.7;4.2
1707207;88;20;43;21;75;85.2;5.1;5.6;4.1
1707306;47;15;16;18;40;85.1;4.1;5.4;3.9
1707405;162;35;88;54;68;42;3.9;4.6;4.1
1707553;56;17;18;19;43;76.8;4.7;6;4.3
1707652;61;19;15;9;43;70.5;5.1;5.9;4.4
1707702;100;27;33;23;44;44;4.1;4.7;3.5
1708205;256;68;117;100;191;74.6;4.6;5.3;4.1
1708254;60;20;25;17;22;36.7;4.5;5.5;3.7
1708304;74;25;17;17;46;62.2;4.2;4.9;3.6
1709005;292;62;196;119;200;68.5;3.4;4.3;3.2
1709302;231;73;82;53;124;53.7;4.9;5.9;4.3
1709500;957;267;286;243;404;42.2;5.4;6.3;4.3
1709807;36;11;10;6;21;58.3;3.4;4.5;3.4
1710508;168;26;104;73;116;69;4.4;5.5;4.4
1710706;81;21;41;20;23;28.4;4.1;5;3.9
1710904;41;12;22;21;24;58.5;4.8;6.5;4.3
1711100;32;12;11;8;12;37.5;5.3;6.5;4.7
1711506;47;10;16;9;18;38.3;4;6;4.5
1711803;50;20;22;11;37;74;4.5;4.9;3.9
1711902;229;58;114;96;160;69.9;3.8;5.4;3.4
1711951;69;24;24;15;31;44.9;4.3;4.8;3.9
1712009;66;21;16;15;40;60.6;4;5.3;4.2
1712157;34;7;16;13;19;55.9;4.3;5.7;5.3
1712405;45;10;24;20;27;60;4.1;3.3;3.6
1712454;47;11;17;16;29;61.7;5;5.5;4
1712504;68;19;25;18;42;61.8;3.9;5.8;3.9
1712702;45;11;24;14;31;68.9;3.9;4.4;3.8
1712801;55;12;24;11;32;58.2;3.8;5.1;4
1713205;223;62;82;78;104;46.6;4.6;4.8;4.1
1713304;142;40;38;23;117;82.4;4.2;5.4;4
1713601;104;22;55;24;66;63.5;4.3;4.2;3.6
1713700;35;18;15;0;26;74.3;4.4;4.8;
1713809;80;21;28;23;59;73.8;4.8;5.4;4.5
1713957;65;18;30;17;47;72.3;4.1;4.7;4
1714203;137;35;54;55;83;60.6;4.4;6;3.9
1714302;84;21;39;28;38;45.2;4.7;5.4;4.5
1714880;150;45;47;31;69;46;4.2;5.2;3.8
1715002;49;11;25;22;21;42.9;4.2;5.3;4.1
1715101;55;15;24;17;31;56.4;4;6;5.2
1715150;23;7;12;13;13;56.5;5.2;5.1;4.2
1715259;39;15;13;13;28;71.8;4;5.5;
1715507;21;5;5;8;17;81;4.9;6.3;4.1
1715705;83;21;27;26;52;62.7;4.6;4.9;3.8
1715754;104;25;33;35;51;49;5.3;6.9;4.7
1716109;561;131;168;224;318;56.7;4.9;6.6;4.2
1716208;183;51;81;36;111;60.7;4.3;5;3.9
1716307;62;14;26;22;29;46.8;4.8;5.8;4
1716505;193;46;69;76;129;66.8;4.6;6.4;3.8
1716604;96;26;39;24;27;28.1;4.8;5.5;4.4
1716653;80;28;32;11;44;55;5.1;5.5;3.8
1716703;92;26;51;40;37;40.2;4.5;5.6;4.3
1717008;70;19;34;37;41;58.6;4.4;5.1;4.2
1717206;36;14;15;11;11;30.6;4.4;4.9;4.3
1717503;109;24;31;23;71;65.1;3.6;5;4
1717800;85;26;44;31;66;77.6;4.4;5.6;3.8
1717909;101;28;31;27;34;33.7;4.4;5.2;4.2
1718006;43;13;15;14;24;55.8;4.1;5;3.5
1718204;845;231;269;292;395;46.7;4.3;5.4;4.1
1718303;194;26;67;22;102;52.6;4.4;4.5;3.9
1718402;34;9;16;14;18;52.9;4.3;6.3;4.3
1718451;47;13;20;14;25;53.2;4.3;6;4
1718501;65;14;27;14;39;60;3.9;4.5;3.9
1718550;61;14;15;13;41;67.2;4.5;5.4;4.6
1718659;38;13;15;12;26;68.4;5;4.6;
1718709;44;16;15;13;30;68.2;4.1;5.5;4.3
1718758;90;27;37;28;65;72.2;4.3;5;3.9
1718808;61;17;21;24;32;52.5;4.8;5.1;4.1
1718840;75;28;34;34;52;69.3;3.7;5.8;3.7
1718865;118;23;52;40;65;55.1;4;4.7;3.5
1718881;43;12;15;13;32;74.4;3.6;5.9;3.4
1718899;43;12;18;18;22;51.2;4.5;;4.4
1718907;81;26;29;13;62;76.5;4.7;4.8;4.1
1719004;50;19;25;13;30;60;4.4;5.2;4.1
1720002;52;17;17;14;38;73.1;5.3;5.6;3.6
1720101;143;43;56;29;111;77.6;4.5;5.9;3.7
1720150;31;9;13;16;21;67.7;3.9;5.3;3.7
1720200;205;55;87;41;127;62;4;4.5;4.3
1720259;67;18;40;39;34;50.7;4.4;6.6;5.1
1720309;63;10;23;11;22;34.9;4.8;5.2;4.1
1720499;83;28;33;16;54;65.1;4.7;5.5;4.3
1720655;87;18;43;27;49;56.3;3.7;5.3;3.5
